Scode,Coname,NewsDt,NewsID,Newsmedia,Buyernm,Sellernm,Subnm,Eqtrart,MAprice,Currut,Ifrumor,State,corporation_name
600634,中技控股,2014-08-18,E719843897,东方财富网,中技控股,无,DianDianInteractiveHolding（点点控股）股权、收购点点互动（北京）科技有限公司股权、收购北京儒意欣欣影业投资有限公司股权,DianDianInteractiveHolding（点点控股）100%；收购点点互动（北京）科技有限公司100%；收购北京儒意欣欣影业投资有限公司100%,86.71,人民币,否,无,DianDianInteractiveHolding（点点控股）股权、收购点点互动（北京）科技有限公司股权、收购北京儒意欣欣影业投资有限公司股权
600636,三爱富,2016-09-29,K1139215980,汇金网,三爱富,无,文化教育类资产,0,22.57,人民币,否,无,文化教育类资产
600637,东方明珠,2014-12-04,P1960376016,亿邦动力网,百视通,东方明珠,东方明珠所有资产,0,1.0,人民币,否,无,东方明珠
600639,浦东金桥,2014-02-26,H478582677,第一财经,浦东金桥,无,联发公司39.6%的股权,39.60%,21.08,人民币,否,无,联发公司39.6%的股权
600640,号百控股,2016-07-29,L600395349,金融界,号百控股,无,天翼视讯股权、炫彩互动股权、天翼阅读股权、爱动漫股权,天翼视讯100%；炫彩互动100%；天翼阅读100%；爱动漫100%,38.95,人民币,否,无,天翼视讯股权、炫彩互动股权、天翼阅读股权、爱动漫股权
600641,万业企业,2018-07-16,C392290914,东方财富网,万业企业,无,凯世通100%股份,100%,9.7,人民币,否,无,凯世通100%股份
600642,申能股份,2019-11-14,H1945759759,和讯网,申能股份,风脉洁风(武汉)能源有限公司,格尔木东恒50MW风力发电项目100%股权,100%,3.86,人民币,否,无,风脉洁风(武汉)能源有限公司
600643,爱建集团,2015-11-24,C206809156,凤凰财经,爱建集团,均瑶集团、王均金、王均豪,均瑶乳业股权,99.81%,25.02,人民币,否,无,均瑶乳业股权
600645,中源协和,2014-02-23,Q1893029003,和讯网,中源协和,无,执诚生物科技股份有限公司股权,100.00%,8.0,人民币,否,无,执诚生物科技股份有限公司股权
600647,同达创业,2015-09-29,P815679141,新财界,同达创业,北京视博数字电视科技有限公司股东,北京视博数字电视科技有限公司100%股权,100.00%,32.0,人民币,否,无,北京视博数字电视科技有限公司股东
600651,飞乐音响,2014-05-20,P422758795,凤凰财经,飞乐音响,无,北京申安集团的股权,100.00%,18.5,人民币,否,无,北京申安集团的股权
600653,申华控股,2016-08-09,N2006560307,东方财富网,申华控股,东昌投资、东昌广告,东昌汽投股权,77.90%,15.58,人民币,否,无,东昌汽投股权
600654,中安消,2016-07-21,D1096964423,中国证券网,中安消,无,启创卓越100%股权、华和万润100%股权、中科智能100%股权,启创卓越100%；华和万润100%；中科智能100%,17.08,人民币,否,无,启创卓越100%股权、华和万润100%股权、中科智能100%股权
600655,豫园商城,2015-11-10,E1058430950,东方财富网,豫园商城,荷兰基金MatakiteB.V、星野Resort公司,日本星野ResortTomamu公司股权,100.00%,9.47,人民币,否,无,日本星野ResortTomamu公司股权
600661,新南洋,2013-08-27,H324338843,中国经济网,新南洋,交大企管中心、起然教育,昂立科技100%股权,100.00%,5.82,人民币,否,无,昂立科技100%股权
600663,陆家嘴,2016-04-12,E554114228,金融界,陆家嘴,陆家嘴集团、前滩集团、土控集团,上海陆家嘴金融发展有限公司股权,100.00%,109.31,人民币,否,无,上海陆家嘴金融发展有限公司股权
600664,哈药股份,2011-11-16,N23240304,医药网,哈药股份,哈药集团,生物工程公司、三精制药股份,生物工程公司100%；三精制药股份44.82%,54.8,人民币,否,无,哈药集团
600666,奥瑞德,2015-12-15,Q395026119,南方财富,奥瑞德,无,新航科技100%股权,100.00%,15.3,人民币,否,无,新航科技100%股权
600667,太极实业,2015-06-30,F237473443,凤凰财经,太极实业,无锡产业集团、无锡金投、赵振元及成都成达,十一科技股权,81.74%,22.72,人民币,否,无,十一科技股权
600671,天目药业,2015-12-16,H195400344,财信网,天目药业,无,科泰生物100%股权,100.00%,12.5,人民币,否,无,科泰生物100%股权
600674,川投能源,2019-12-27,L925704270,和讯网,川投能源,中国信达资产管理股份有限公司、宁波信达汉石投资管理有限公司、芜湖信运汉石投资管理合伙企业(有限合伙),中广核洪雅高凤山水力发电有限公司100%股权、四川槽渔滩水电股份有限公司62.35%股权、四川天全脚基坪水力发电有限公司100%股权,中广核洪雅高凤山水力发电有限公司100%股权、四川槽渔滩水电股份有限公司62.35%股权、四川天全脚基坪水力发电有限公司100%股权,12.23,人民币,否,无,中国信达资产管理股份有限公司、宁波信达汉石投资管理有限公司、芜湖信运汉石投资管理合伙企业(有限合伙)
600675,中华企业,2016-11-24,Q780131210,金融界,中华企业,无,中星集团100%股权,100.00%,185.0,人民币,否,无,中星集团100%股权
600677,航天通信,2015-05-24,F987089247,凤凰财经,航天通信,无,智慧海派股权、江苏捷诚股权,智慧海派51%；江苏捷诚36.92876%,12.38,人民币,否,无,智慧海派股权、江苏捷诚股权
600678,四川金顶,2014-12-02,C830282020,和讯网,四川金顶,无,北京德利迅达科技有限公司股权,95.00%,26.6,人民币,否,无,北京德利迅达科技有限公司股权
600681,S*ST万鸿,2009-11-25,H1768486803,搜狐,万鸿,佛奥集团、富桥实业,奥园置业100%股权,100.00%,13.1,人民币,否,无,佛奥集团、富桥实业
600682,南京新百,2014-07-05,L664577334,赢商新闻,南京新百,三胞集团,南京兴宁实业100%股权、南京瑞和商贸100%股权,南京兴宁实业100%；南京瑞和商贸100%,6.8,人民币,否,无,三胞集团
600684,珠江实业,2008-10-18,R669850698,金融界,珠江实业,东建实业和中拓地产,S8地块项目,0,1.56,人民币,否,无,S8地块项目
600685,中船防务,2018-02-26,P885456702,东方财富网,中船防务,华融瑞通、新华保险等9名交易对方,广船国际23.58%股权、黄埔文冲30.98%股权,广船国际23.58%；黄埔文冲30.98%,48.0,人民币,否,无,华融瑞通、新华保险等9名交易对方
600686,金龙汽车,2014-03-19,Q876538038,金融界,金龙汽车,厦门海翼集团有限公司,创程环保股权,100.00%,8.9,人民币,否,无,创程环保股权
600687,刚泰控股,2014-12-15,A1786025585,东方财富网,刚泰控股,林亢峰、许彩琴,国鼎黄金100%股权,100.00%,3.0,人民币,否,无,林亢峰、许彩琴
600689,上海三毛,2015-08-31,H76739459,东方财富网,上海三毛,王雪根、施亚辉和汪立国等,万源通100%股权,100.00%,3.3,人民币,否,无,万源通100%股权
600690,青岛海尔,2011-06-16,L1463215644,和讯网,青岛海尔,海尔集团及其子公司,青岛海尔模具有限公司等10家公司股权,0,18.8,人民币,否,无,海尔集团及其子公司
600699,均胜电子,2014-12-17,M1592829149,盖世汽车资讯,均胜电子,无,QuinGmbH股权,100.00%,6.89,人民币,否,无,QuinGmbH股权
600701,工大高新,2015-05-12,P966806495,东方财富网,工大高新,汉柏科技全体股东,汉柏科技有限公司100%股权,100.00%,25.0,人民币,否,无,汉柏科技全体股东
600705,中航资本,2015-10-30,L1999426801,证券之星,中航资本,无,中航证券、中航租赁、中航信托少数股权,0,50.0,人民币,否,无,中航证券、中航租赁、中航信托少数股权
600707,彩虹股份,2015-02-07,F1052187889,东方财富网,咸阳中电彩虹集团控股有限公司,彩虹电子、彩虹集团,彩虹股份股权,24.60%,16.35,人民币,否,无,彩虹股份股权
600708,海博股份,2014-06-13,D799686533,全景网,海博股份,无,农房集团100%股权,100.00%,80.0,人民币,否,无,农房集团100%股权
